,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
0,B_cells,SPRR3,1,1,1,1,1,5
1,myofibroblasts,SPRR3,1,1,1,1,1,5
2,fibroblasts,SPRR3,1,1,1,1,1,5
3,naive_T_cells,SPRR3,1,1,1,1,1,5
4,gi_epithelial,SPRR3,1,1,1,1,1,5
5,NK_cells,SPRR3,1,1,1,1,1,5
6,neutrophils,SPRR3,1,1,1,1,1,5
7,cd4_Tcells,SPRR3,1,1,1,1,1,5
8,mast_cells,SPRR3,1,1,1,1,1,5
9,cd8_Tcells,SPRR3,1,1,1,1,1,5
10,endothelial,SPRR3,1,1,1,1,1,5
11,monocytes_macs_DCs,SPRR3,1,1,1,1,1,5
12,stromal,SPRR3,1,1,1,1,1,5
13,B_cells,S100A9,1,1,1,1,1,5
14,myofibroblasts,S100A9,1,1,1,1,1,5
15,fibroblasts,S100A9,1,1,1,1,1,5
16,naive_T_cells,S100A9,1,1,1,1,1,5
17,gi_epithelial,S100A9,1,1,1,1,1,5
18,neuroendocrine,S100A9,1,1,0,0,1,3
19,NK_cells,S100A9,1,1,1,1,1,5
20,cd4_Tcells,S100A9,1,1,1,1,1,5
21,mast_cells,S100A9,1,1,1,1,1,5
22,cd8_Tcells,S100A9,1,1,1,1,1,5
23,endothelial,S100A9,1,1,1,1,1,5
24,stromal,S100A9,1,1,1,1,1,5
25,B_cells,KRT13,1,1,1,1,1,5
26,myofibroblasts,KRT13,1,1,1,1,1,5
27,fibroblasts,KRT13,1,1,1,1,1,5
28,gi_epithelial,KRT13,1,1,1,1,1,5
29,NK_cells,KRT13,1,1,1,1,1,5
30,cd4_Tcells,KRT13,1,1,1,1,1,5
31,mast_cells,KRT13,1,1,1,1,1,5
32,cd8_Tcells,KRT13,1,1,1,1,1,5
33,endothelial,KRT13,1,1,1,1,1,5
34,monocytes_macs_DCs,KRT13,1,1,1,1,1,5
35,stromal,KRT13,1,1,1,1,1,5
36,B_cells,CNFN,1,1,1,1,1,5
37,myofibroblasts,CNFN,1,1,1,1,1,5
38,fibroblasts,CNFN,1,1,1,1,1,5
39,gi_epithelial,CNFN,1,1,1,1,1,5
40,neuroendocrine,CNFN,1,1,0,0,1,3
41,cd4_Tcells,CNFN,1,1,1,1,1,5
42,mast_cells,CNFN,1,1,1,1,1,5
43,cd8_Tcells,CNFN,1,1,1,1,1,5
44,endothelial,CNFN,1,1,1,1,1,5
45,monocytes_macs_DCs,CNFN,1,1,1,1,1,5
46,stromal,CNFN,1,1,1,1,1,5
47,B_cells,TFF3,1,1,1,1,1,5
48,gi_epithelial,TFF3,1,0,1,0,0,2
49,neuroendocrine,TFF3,1,1,1,1,0,4
50,NK_cells,TFF3,1,1,1,1,1,5
51,cd4_Tcells,TFF3,1,1,1,1,1,5
52,mast_cells,TFF3,1,1,1,1,1,5
53,cd8_Tcells,TFF3,1,1,1,1,1,5
54,squamous_epithelial,TFF3,1,1,1,1,1,5
55,endothelial,TFF3,1,1,0,1,1,4
56,monocytes_macs_DCs,TFF3,1,1,1,1,1,5
57,stromal,TFF3,1,1,1,1,1,5
58,B_cells,REG4,1,1,1,1,1,5
59,myofibroblasts,REG4,1,1,1,1,1,5
60,fibroblasts,REG4,1,1,1,1,1,5
61,gi_epithelial,REG4,1,0,1,0,0,2
62,neuroendocrine,REG4,1,1,1,1,0,4
63,cd4_Tcells,REG4,1,1,1,1,1,5
64,mast_cells,REG4,1,1,1,1,1,5
65,cd8_Tcells,REG4,1,1,1,1,1,5
66,endothelial,REG4,1,1,1,1,1,5
67,monocytes_macs_DCs,REG4,1,1,1,1,1,5
68,stromal,REG4,1,1,1,1,1,5
69,B_cells,SPRR2A,1,1,1,1,1,5
70,myofibroblasts,SPRR2A,1,1,1,1,1,5
